City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Leh,IN,34.17,77.58,55.92,34,0,4.05,clear sky
300,Rudbar,AF,30.15,62.6,81.99,36,14,7.25,few clouds
301,Nishihara,JP,26.18,127.76,82.4,88,75,11.41,broken clouds
302,Hamilton,US,39.18,-84.53,78.01,83,1,4.7,clear sky
303,Inirida,CO,3.87,-67.92,72.9,96,95,2.42,overcast clouds
304,Puquio,PE,-14.7,-74.13,49.53,60,59,2.75,broken clouds
305,Lodja,CD,-3.48,23.43,71.58,93,99,4.7,light rain
306,Luena,AO,-11.78,19.92,61.09,45,38,3.47,scattered clouds
307,Hit,IQ,33.64,42.83,83.23,26,0,11.72,clear sky
308,Plouzane,FR,48.38,-4.62,60.8,93,11,5.82,few clouds
309,Aulla,IT,44.21,9.97,73.99,78,0,2.82,clear sky
310,Gizo,SB,-8.1,156.84,83.86,78,83,16.78,light rain
311,Lake City,US,30.19,-82.64,75.2,94,1,8.05,light rain
312,Juazeiro,BR,-9.41,-40.5,79.32,44,0,18.7,clear sky
313,Vao,NC,-22.67,167.48,71.44,82,60,11.59,broken clouds
314,Colares,PT,38.8,-9.45,66.99,90,0,21.99,clear sky
315,Wagga Wagga,AU,-35.12,147.37,42.8,100,90,11.41,overcast clouds
316,Balabac,PH,7.99,117.06,84.34,78,90,9.8,light rain
317,Kingston,JM,18.0,-76.79,87.8,70,20,4.7,few clouds
318,Huicheng,CN,23.04,116.29,80.6,88,86,2.24,mist
319,San Policarpo,PH,12.18,125.51,82.31,81,100,6.78,moderate rain
320,Axim,GH,4.87,-2.24,74.48,92,9,6.13,clear sky
321,Vestmanna,FO,62.16,-7.17,46.4,81,87,14.99,light rain
322,Muisne,EC,0.6,-80.03,78.8,78,75,10.29,broken clouds
323,Ourossogui,SN,15.61,-13.32,89.6,62,99,6.93,light rain
324,Sharjah,AE,25.36,55.4,91.4,66,93,11.41,overcast clouds
325,Lagoa,PT,39.05,-27.98,72.66,83,48,10.4,scattered clouds
326,Okhotsk,RU,59.38,143.3,56.19,46,88,8.25,overcast clouds
327,Los Llanos De Aridane,ES,28.66,-17.92,75.2,88,20,16.11,few clouds
328,Shamsabad,IN,27.02,78.13,78.8,100,75,2.24,broken clouds
329,General Roca,AR,-39.03,-67.58,60.8,51,0,11.83,clear sky
330,Joppatowne,US,39.46,-76.36,80.6,83,5,9.17,clear sky
331,Port Elizabeth,ZA,-33.92,25.57,55.4,93,0,3.36,clear sky
332,Shar,KZ,49.59,81.05,59.97,52,78,5.84,broken clouds
333,Cintalapa,MX,16.7,-93.73,76.51,86,99,0.76,moderate rain
334,Yar-Sale,RU,66.83,70.83,49.23,90,12,9.69,few clouds
335,Makakilo City,US,21.35,-158.09,89.6,52,40,8.05,scattered clouds
336,Walvis Bay,NA,-22.96,14.51,64.53,25,0,2.82,clear sky
337,Victor Harbor,AU,-35.57,138.62,50.0,89,66,14.23,light rain
338,Grand-Santi,GF,4.25,-54.38,79.3,65,85,2.3,overcast clouds
339,Neuquen,AR,-38.95,-68.06,60.8,51,0,7.09,clear sky
340,Karatsu,JP,33.44,129.97,82.0,58,80,5.01,broken clouds
341,Celestun,MX,20.87,-90.4,84.02,74,10,11.63,clear sky
342,Gat,IL,31.61,34.76,77.0,33,2,1.01,clear sky
343,Teguise,ES,29.06,-13.56,75.2,83,20,23.04,few clouds
344,Krasnovka,RU,48.82,40.09,56.05,67,0,7.87,clear sky
345,Mitla,MX,16.92,-96.4,73.4,60,90,10.29,overcast clouds
346,Gloucester,GB,51.87,-2.24,60.01,83,84,14.83,broken clouds
347,San Patricio,MX,19.22,-104.7,86.0,74,75,11.41,broken clouds
348,Praia Da Vitoria,PT,38.73,-27.07,73.4,78,20,3.74,few clouds
349,Tamparan,PH,7.88,124.33,76.69,66,52,0.83,broken clouds
350,Kanniyakumari,IN,8.08,77.57,79.41,85,86,13.85,overcast clouds
351,Esperance,AU,-33.87,121.9,50.0,93,75,9.17,broken clouds
352,Ambilobe,MG,-13.2,49.05,65.14,67,80,4.97,broken clouds
353,Hohhot,CN,40.81,111.65,64.4,100,75,2.24,light rain
354,Inhambane,MZ,-23.86,35.38,62.02,79,0,2.73,clear sky
355,Mehamn,NO,71.04,27.85,58.28,82,34,14.65,scattered clouds
356,Nhulunbuy,AU,-12.23,136.77,82.4,48,0,18.34,clear sky
357,Tateyama,JP,34.98,139.87,78.01,94,75,6.93,light intensity shower rain
358,Aswan,EG,24.09,32.91,81.91,32,0,8.01,clear sky
359,Krasnoselkup,RU,65.7,82.47,54.09,69,83,7.47,broken clouds
360,Bose,IT,45.46,8.01,75.0,74,24,5.99,few clouds
361,Beidao,CN,34.57,105.89,69.73,81,100,3.09,light rain
362,Mount Isa,AU,-20.73,139.5,60.8,31,3,12.75,clear sky
363,Iskateley,RU,67.68,53.15,49.01,86,67,3.47,broken clouds
364,Ayan,RU,56.45,138.17,61.2,53,26,7.25,scattered clouds
365,Fiumicino,IT,41.77,12.23,79.0,100,0,2.24,clear sky
