City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Cartagena,CO,82.04,overcast clouds,10.4,-75.51,Allure Chocolat
597,Tabuk,PH,80.51,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
604,Porbandar,IN,81.99,moderate rain,21.64,69.61,Lords Inn Porbandar
614,Black River,JM,86.0,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
617,Phonhong,LA,75.2,drizzle,18.5,102.42,Napakuang Resort
619,Forli,IT,80.01,clear sky,44.22,12.05,Hotel Paradise Airport
623,Kavaratti,IN,82.45,light rain,10.57,72.64,Bismillah Hotel And Lodging
624,Kiunga,PG,78.42,broken clouds,-6.12,141.29,Airport Lodge Kiunga
627,Asyut,EG,79.36,clear sky,27.18,31.18,Florence Hotel Assiut
628,Novo Aripuana,BR,79.43,clear sky,-5.12,-60.38,Hotel Ypê
629,Hasaki,JP,79.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
632,Manaure,CO,82.94,broken clouds,11.78,-72.44,Del mar vendra
634,Nagua,DO,80.6,light rain,19.38,-69.85,Hotel Cambri
637,Hede,CN,80.47,clear sky,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
640,Swift Current,CA,77.0,clear sky,50.28,-107.8,"Motel 6 Swift Current, SK"
641,Sinj,HR,77.0,clear sky,43.7,16.64,Apartment Ana
643,Fort Stewart,US,80.6,scattered clouds,31.87,-81.61,Holiday Inn Express & Suites Hinesville East - Fort Stewart
645,Savannakhet,LA,77.02,overcast clouds,16.57,104.75,โรงแรม ริเวอร์ ฟร้อนท์
647,Rosarito,MX,87.8,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
649,San Quintin,MX,77.79,clear sky,30.48,-115.95,Old Mill Hotel
650,Fare,PF,76.96,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
651,Nouakchott,MR,84.2,clear sky,18.09,-15.98,Hôtel Iman
652,Paka,MY,77.0,few clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
655,Petersburg,US,80.01,clear sky,37.23,-77.4,Hilton Garden Inn Richmond South/Southpark
664,Barra Do Corda,BR,83.52,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
667,Pandan,PH,84.88,overcast clouds,14.05,124.17,Bonifacio Lodge
669,Bucerias,MX,89.6,broken clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
671,Kapit,MY,77.05,overcast clouds,2.02,112.93,Hotel Meligai Kapit
674,Columbus,US,77.0,broken clouds,39.96,-83.0,DoubleTree Suites by Hilton Hotel Columbus Downtown
676,Conde,BR,75.2,few clouds,-7.26,-34.91,Pousada Beija Flor
677,Covington,US,78.01,clear sky,39.08,-84.51,Cincinnati Marriott at RiverCenter
678,Oussouye,SN,78.8,broken clouds,12.48,-16.55,Auberge du Routard
691,Pio Ix,BR,75.52,scattered clouds,-6.84,-40.58,Hotel Central
694,Doha,QA,89.6,overcast clouds,25.29,51.53,Movenpick Hotel Doha
696,Kefamenanu,ID,78.08,few clouds,-9.45,124.48,PAULUS TAITOH
703,Jizan,SA,87.8,few clouds,17.33,42.67,شهدان. ابوالحجر
705,Praia,CV,80.6,few clouds,14.92,-23.51,LT Aparthotel
706,Honiara,SB,87.8,scattered clouds,-9.43,159.95,Heritage Park Hotel
